Id	Sps	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24	RawCoord25	RawCoord26	RawCoord27	RawCoord28	RawCoord29	RawCoord30	RawCoord31	RawCoord32	RawCoord33	RawCoord34	RawCoord35	RawCoord36	RawCoord37	RawCoord38	RawCoord39	RawCoord40	RawCoord41	RawCoord42	RawCoord43	RawCoord44	RawCoord45	RawCoord46	RawCoord47	RawCoord48	RawCoord49	RawCoord50	RawCoord51	RawCoord52	RawCoord53	RawCoord54	RawCoord55	RawCoord56	RawCoord57	RawCoord58	RawCoord59	RawCoord60	RawCoord61	RawCoord62	RawCoord63	RawCoord64	RawCoord65	RawCoord66	RawCoord67	RawCoord68	RawCoord69	RawCoord70	RawCoord71	RawCoord72	RawCoord73	RawCoord74	RawCoord75	RawCoord76	RawCoord77	RawCoord78	RawCoord79	RawCoord80
0	C. erythrocnemis	493.0	944.0	468.0	983.0	443.0	1022.0	415.0	1059.0	389.0	1097.0	367.0	1137.0	349.0	1180.0	333.0	1223.0	325.0	1269.0	324.0	1315.0	341.0	1357.0	376.0	1386.0	413.0	1414.0	444.0	1448.0	471.0	1485.0	477.0	1531.0	475.0	1577.0	474.0	1622.0	492.0	1664.0	519.0	1700.0	560.0	1679.0	598.0	1653.0	637.0	1628.0	673.0	1599.0	712.0	1575.0	753.0	1554.0	795.0	1534.0	835.0	1511.0	878.0	1493.0	921.0	1478.0	965.0	1465.0	1010.0	1471.0	1053.0	1487.0	1097.0	1482.0	1132.0	1452.0	1164.0	1418.0	1196.0	1386.0	1229.0	1353.0	1257.0	1316.0	1297.0	1296.0
1	C. erythrocnemis	378.0	1125.0	359.0	1165.0	335.0	1202.0	315.0	1242.0	300.0	1283.0	289.0	1326.0	286.0	1370.0	300.0	1412.0	327.0	1446.0	364.0	1470.0	398.0	1497.0	422.0	1535.0	434.0	1577.0	435.0	1621.0	438.0	1665.0	455.0	1706.0	474.0	1746.0	502.0	1776.0	535.0	1752.0	555.0	1713.0	591.0	1687.0	629.0	1664.0	663.0	1636.0	697.0	1608.0	736.0	1586.0	776.0	1567.0	817.0	1552.0	858.0	1535.0	900.0	1520.0	941.0	1505.0	984.0	1496.0	1026.0	1511.0	1070.0	1514.0	1106.0	1491.0	1136.0	1458.0	1165.0	1425.0	1194.0	1392.0	1223.0	1358.0	1252.0	1325.0	1284.0	1296.0
2	C. erythrocnemis	407.0	1191.0	383.0	1226.0	363.0	1263.0	341.0	1299.0	320.0	1336.0	304.0	1375.0	294.0	1416.0	292.0	1458.0	312.0	1483.0	351.0	1499.0	377.0	1531.0	387.0	1571.0	387.0	1614.0	387.0	1656.0	385.0	1698.0	386.0	1740.0	399.0	1780.0	434.0	1775.0	468.0	1749.0	500.0	1721.0	532.0	1694.0	565.0	1668.0	600.0	1644.0	636.0	1622.0	673.0	1601.0	710.0	1582.0	751.0	1570.0	792.0	1560.0	833.0	1553.0	875.0	1557.0	915.0	1569.0	954.0	1557.0	983.0	1526.0	1011.0	1494.0	1037.0	1461.0	1064.0	1429.0	1090.0	1396.0	1116.0	1362.0	1143.0	1330.0	1182.0	1314.0
3	C. erythrocnemis	301.0	1074.0	271.0	1109.0	246.0	1148.0	222.0	1188.0	201.0	1229.0	187.0	1273.0	176.0	1318.0	176.0	1364.0	192.0	1408.0	228.0	1425.0	273.0	1432.0	311.0	1458.0	341.0	1493.0	352.0	1538.0	352.0	1584.0	353.0	1630.0	367.0	1673.0	401.0	1704.0	442.0	1694.0	464.0	1654.0	491.0	1616.0	528.0	1589.0	566.0	1561.0	601.0	1531.0	641.0	1508.0	680.0	1483.0	721.0	1461.0	764.0	1446.0	809.0	1433.0	855.0	1437.0	900.0	1444.0	947.0	1444.0	993.0	1444.0	1029.0	1417.0	1061.0	1384.0	1085.0	1345.0	1119.0	1314.0	1152.0	1281.0	1183.0	1247.0	1223.0	1224.0
4	C. erythrocnemis	452.0	1144.0	423.0	1178.0	396.0	1214.0	368.0	1249.0	339.0	1283.0	313.0	1319.0	292.0	1359.0	270.0	1398.0	250.0	1438.0	250.0	1481.0	275.0	1516.0	319.0	1520.0	356.0	1543.0	381.0	1580.0	383.0	1625.0	381.0	1669.0	389.0	1713.0	404.0	1754.0	443.0	1772.0	487.0	1768.0	528.0	1751.0	567.0	1729.0	606.0	1706.0	640.0	1677.0	669.0	1643.0	701.0	1612.0	739.0	1589.0	780.0	1570.0	824.0	1565.0	869.0	1568.0	911.0	1583.0	954.0	1592.0	990.0	1568.0	1025.0	1541.0	1054.0	1507.0	1086.0	1475.0	1117.0	1443.0	1148.0	1410.0	1182.0	1382.0	1223.0	1365.0
5	C. erythrocnemis	428.0	1196.0	407.0	1227.0	389.0	1261.0	372.0	1295.0	357.0	1330.0	346.0	1367.0	341.0	1404.0	349.0	1442.0	371.0	1472.0	403.0	1491.0	437.0	1510.0	457.0	1541.0	462.0	1579.0	477.0	1614.0	488.0	1650.0	495.0	1687.0	517.0	1718.0	547.0	1741.0	579.0	1730.0	607.0	1705.0	638.0	1683.0	667.0	1658.0	695.0	1632.0	724.0	1608.0	755.0	1585.0	787.0	1564.0	821.0	1548.0	857.0	1536.0	895.0	1531.0	933.0	1532.0	971.0	1535.0	1008.0	1528.0	1037.0	1503.0	1060.0	1473.0	1081.0	1441.0	1107.0	1413.0	1132.0	1385.0	1153.0	1353.0	1179.0	1325.0	1212.0	1309.0
7	C. geniculata	316.0	1004.0	288.0	1046.0	260.0	1089.0	235.0	1133.0	211.0	1178.0	189.0	1224.0	168.0	1270.0	152.0	1318.0	143.0	1368.0	145.0	1419.0	170.0	1462.0	201.0	1502.0	222.0	1548.0	241.0	1595.0	261.0	1642.0	282.0	1688.0	303.0	1734.0	336.0	1773.0	382.0	1774.0	424.0	1746.0	464.0	1715.0	503.0	1682.0	542.0	1650.0	583.0	1620.0	620.0	1584.0	659.0	1552.0	704.0	1530.0	753.0	1518.0	804.0	1516.0	855.0	1514.0	905.0	1510.0	950.0	1489.0	989.0	1457.0	1025.0	1421.0	1061.0	1385.0	1098.0	1350.0	1139.0	1320.0	1168.0	1279.0	1197.0	1237.0	1241.0	1217.0
8	C. geniculata	268.0	1022.0	243.0	1063.0	220.0	1106.0	200.0	1150.0	177.0	1192.0	158.0	1236.0	154.0	1284.0	158.0	1332.0	185.0	1371.0	222.0	1402.0	259.0	1432.0	286.0	1472.0	305.0	1516.0	313.0	1563.0	311.0	1611.0	319.0	1658.0	345.0	1698.0	390.0	1690.0	432.0	1666.0	475.0	1646.0	515.0	1620.0	553.0	1590.0	586.0	1555.0	617.0	1518.0	652.0	1486.0	692.0	1459.0	736.0	1439.0	782.0	1425.0	830.0	1417.0	874.0	1436.0	919.0	1450.0	966.0	1445.0	1006.0	1420.0	1038.0	1383.0	1066.0	1345.0	1096.0	1307.0	1129.0	1271.0	1159.0	1234.0	1183.0	1193.0	1227.0	1179.0
9	C. geniculata	272.0	1128.0	245.0	1171.0	218.0	1214.0	193.0	1258.0	170.0	1303.0	148.0	1349.0	133.0	1397.0	126.0	1448.0	133.0	1497.0	158.0	1540.0	205.0	1560.0	246.0	1589.0	272.0	1632.0	282.0	1682.0	285.0	1732.0	295.0	1782.0	311.0	1830.0	339.0	1864.0	389.0	1857.0	429.0	1826.0	474.0	1803.0	517.0	1777.0	558.0	1746.0	593.0	1710.0	633.0	1679.0	674.0	1649.0	715.0	1619.0	760.0	1596.0	808.0	1579.0	857.0	1577.0	906.0	1590.0	956.0	1582.0	999.0	1557.0	1037.0	1524.0	1081.0	1499.0	1128.0	1484.0	1164.0	1448.0	1190.0	1404.0	1210.0	1358.0	1247.0	1327.0
10	C. geniculata	400.0	978.0	367.0	1018.0	337.0	1060.0	309.0	1104.0	287.0	1151.0	264.0	1197.0	248.0	1246.0	243.0	1297.0	253.0	1347.0	291.0	1382.0	326.0	1420.0	360.0	1459.0	386.0	1503.0	404.0	1552.0	417.0	1602.0	431.0	1652.0	446.0	1701.0	467.0	1747.0	511.0	1771.0	554.0	1746.0	580.0	1702.0	607.0	1661.0	649.0	1632.0	691.0	1601.0	729.0	1566.0	769.0	1533.0	809.0	1500.0	850.0	1469.0	894.0	1442.0	937.0	1414.0	984.0	1391.0	1032.0	1373.0	1083.0	1364.0	1128.0	1341.0	1165.0	1304.0	1198.0	1265.0	1225.0	1221.0	1255.0	1179.0	1287.0	1138.0	1332.0	1116.0
