Id	Especies	sexo	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24	RawCoord25	RawCoord26	RawCoord27	RawCoord28	RawCoord29	RawCoord30	RawCoord31	RawCoord32	RawCoord33	RawCoord34	RawCoord35	RawCoord36	RawCoord37	RawCoord38	RawCoord39	RawCoord40	RawCoord41	RawCoord42	RawCoord43	RawCoord44	RawCoord45	RawCoord46	RawCoord47	RawCoord48	RawCoord49	RawCoord50	RawCoord51	RawCoord52	RawCoord53	RawCoord54	RawCoord55	RawCoord56	RawCoord57	RawCoord58	RawCoord59	RawCoord60	RawCoord61	RawCoord62	RawCoord63	RawCoord64	RawCoord65	RawCoord66	RawCoord67	RawCoord68	RawCoord69	RawCoord70	RawCoord71	RawCoord72	RawCoord73	RawCoord74	RawCoord75	RawCoord76	RawCoord77	RawCoord78	RawCoord79	RawCoord80
0	C. erythrocnemis	f	1334.0	112.0	1277.0	130.0	1235.0	172.0	1202.0	222.0	1176.0	276.0	1158.0	333.0	1147.0	392.0	1129.0	449.0	1119.0	508.0	1107.0	567.0	1093.0	625.0	1069.0	679.0	1042.0	733.0	1017.0	787.0	986.0	838.0	955.0	889.0	924.0	941.0	897.0	994.0	871.0	1048.0	845.0	1102.0	819.0	1156.0	796.0	1211.0	774.0	1267.0	752.0	1322.0	733.0	1379.0	718.0	1437.0	706.0	1495.0	694.0	1554.0	698.0	1613.0	737.0	1649.0	796.0	1656.0	855.0	1658.0	915.0	1659.0	975.0	1661.0	1035.0	1662.0	1095.0	1662.0	1154.0	1666.0	1214.0	1666.0	1273.0	1661.0	1333.0	1660.0
1	C. erythrocnemis	f	1289.0	293.0	1242.0	306.0	1207.0	342.0	1183.0	384.0	1165.0	431.0	1147.0	477.0	1132.0	525.0	1119.0	573.0	1108.0	622.0	1096.0	670.0	1082.0	718.0	1060.0	763.0	1039.0	808.0	1014.0	851.0	988.0	894.0	964.0	937.0	941.0	981.0	912.0	1022.0	890.0	1067.0	869.0	1112.0	848.0	1157.0	827.0	1203.0	809.0	1249.0	791.0	1296.0	774.0	1343.0	757.0	1389.0	745.0	1438.0	738.0	1487.0	753.0	1534.0	795.0	1554.0	845.0	1559.0	894.0	1564.0	944.0	1567.0	993.0	1574.0	1043.0	1577.0	1093.0	1579.0	1143.0	1580.0	1193.0	1581.0	1243.0	1584.0	1285.0	1582.0
2	C. erythrocnemis	m	1328.0	330.0	1280.0	353.0	1243.0	391.0	1213.0	435.0	1190.0	483.0	1175.0	534.0	1162.0	586.0	1147.0	637.0	1132.0	688.0	1118.0	740.0	1100.0	790.0	1081.0	839.0	1056.0	886.0	1029.0	932.0	1003.0	979.0	978.0	1025.0	950.0	1071.0	922.0	1116.0	896.0	1162.0	869.0	1208.0	843.0	1254.0	816.0	1301.0	792.0	1348.0	773.0	1398.0	754.0	1447.0	741.0	1499.0	733.0	1551.0	731.0	1605.0	756.0	1651.0	799.0	1681.0	851.0	1689.0	904.0	1692.0	958.0	1693.0	1011.0	1695.0	1064.0	1697.0	1117.0	1697.0	1170.0	1697.0	1224.0	1697.0	1277.0	1697.0	1330.0	1697.0
3	C. erythrocnemis	f	1298.0	205.0	1244.0	223.0	1207.0	266.0	1181.0	317.0	1163.0	371.0	1146.0	426.0	1131.0	481.0	1113.0	535.0	1098.0	590.0	1084.0	645.0	1065.0	699.0	1039.0	749.0	1015.0	801.0	990.0	853.0	963.0	903.0	934.0	952.0	905.0	1001.0	876.0	1050.0	850.0	1101.0	825.0	1152.0	798.0	1203.0	777.0	1255.0	757.0	1309.0	737.0	1362.0	717.0	1416.0	699.0	1470.0	683.0	1524.0	670.0	1580.0	683.0	1631.0	730.0	1658.0	786.0	1666.0	843.0	1671.0	899.0	1677.0	956.0	1683.0	1013.0	1688.0	1070.0	1693.0	1127.0	1695.0	1184.0	1696.0	1241.0	1696.0	1298.0	1694.0
4	C. erythrocnemis	m	1076.0	325.0	1035.0	344.0	1002.0	376.0	980.0	416.0	967.0	460.0	957.0	504.0	943.0	548.0	929.0	591.0	918.0	636.0	907.0	680.0	896.0	725.0	882.0	768.0	862.0	809.0	838.0	848.0	815.0	888.0	792.0	927.0	766.0	965.0	740.0	1003.0	718.0	1043.0	701.0	1085.0	678.0	1124.0	656.0	1165.0	635.0	1205.0	619.0	1248.0	603.0	1291.0	588.0	1334.0	577.0	1378.0	568.0	1423.0	579.0	1466.0	619.0	1487.0	665.0	1491.0	710.0	1492.0	756.0	1496.0	802.0	1499.0	847.0	1503.0	893.0	1507.0	938.0	1508.0	984.0	1503.0	1029.0	1504.0	1075.0	1504.0
5	C. erythrocnemis	m	1172.0	504.0	1126.0	511.0	1090.0	539.0	1063.0	578.0	1043.0	619.0	1030.0	664.0	1018.0	709.0	1010.0	754.0	1000.0	799.0	989.0	845.0	977.0	889.0	960.0	932.0	940.0	974.0	918.0	1015.0	893.0	1054.0	867.0	1093.0	842.0	1131.0	817.0	1170.0	794.0	1211.0	770.0	1250.0	750.0	1292.0	732.0	1335.0	714.0	1377.0	694.0	1419.0	678.0	1462.0	662.0	1506.0	648.0	1550.0	647.0	1596.0	670.0	1634.0	710.0	1656.0	755.0	1662.0	801.0	1665.0	847.0	1670.0	893.0	1672.0	940.0	1675.0	986.0	1677.0	1032.0	1679.0	1079.0	1676.0	1125.0	1675.0	1171.0	1672.0
6	C. erythrocnemis	f	1144.0	428.0	1095.0	437.0	1063.0	474.0	1038.0	517.0	1021.0	564.0	1007.0	611.0	991.0	658.0	976.0	705.0	962.0	753.0	950.0	801.0	932.0	847.0	908.0	890.0	883.0	933.0	860.0	977.0	836.0	1021.0	813.0	1065.0	791.0	1109.0	769.0	1153.0	745.0	1197.0	721.0	1240.0	701.0	1285.0	683.0	1331.0	667.0	1378.0	650.0	1425.0	631.0	1470.0	612.0	1516.0	598.0	1564.0	594.0	1613.0	609.0	1658.0	648.0	1679.0	698.0	1683.0	747.0	1683.0	797.0	1685.0	846.0	1689.0	895.0	1692.0	945.0	1694.0	994.0	1694.0	1044.0	1692.0	1093.0	1690.0	1143.0	1691.0
8	C. erythrocnemis	m	1487.0	205.0	1438.0	229.0	1397.0	264.0	1368.0	310.0	1350.0	362.0	1335.0	414.0	1320.0	467.0	1305.0	519.0	1286.0	570.0	1268.0	621.0	1248.0	672.0	1232.0	724.0	1211.0	774.0	1182.0	820.0	1152.0	866.0	1125.0	913.0	1098.0	960.0	1070.0	1007.0	1044.0	1054.0	1018.0	1102.0	994.0	1151.0	972.0	1201.0	949.0	1250.0	929.0	1301.0	910.0	1352.0	893.0	1404.0	878.0	1456.0	865.0	1509.0	894.0	1551.0	943.0	1571.0	998.0	1575.0	1052.0	1579.0	1106.0	1582.0	1161.0	1579.0	1215.0	1581.0	1269.0	1583.0	1324.0	1584.0	1378.0	1583.0	1433.0	1585.0	1487.0	1585.0
9	C. erythrocnemis	f	1252.0	325.0	1204.0	344.0	1164.0	375.0	1135.0	417.0	1115.0	464.0	1102.0	513.0	1085.0	562.0	1067.0	609.0	1050.0	658.0	1036.0	707.0	1024.0	757.0	1008.0	805.0	989.0	852.0	963.0	896.0	938.0	941.0	914.0	986.0	892.0	1032.0	869.0	1078.0	847.0	1124.0	824.0	1170.0	803.0	1216.0	781.0	1263.0	759.0	1309.0	741.0	1357.0	725.0	1405.0	709.0	1454.0	696.0	1503.0	690.0	1554.0	703.0	1602.0	742.0	1630.0	792.0	1634.0	843.0	1633.0	894.0	1632.0	945.0	1633.0	996.0	1635.0	1048.0	1635.0	1099.0	1635.0	1150.0	1634.0	1201.0	1633.0	1252.0	1633.0
10	C. erythrocnemis	f	1310.0	353.0	1258.0	370.0	1215.0	404.0	1183.0	449.0	1163.0	500.0	1150.0	553.0	1140.0	607.0	1133.0	662.0	1127.0	717.0	1118.0	771.0	1098.0	822.0	1072.0	870.0	1045.0	918.0	1015.0	964.0	986.0	1010.0	959.0	1058.0	932.0	1106.0	904.0	1153.0	879.0	1202.0	852.0	1250.0	827.0	1299.0	803.0	1348.0	780.0	1398.0	758.0	1449.0	740.0	1500.0	723.0	1552.0	704.0	1604.0	692.0	1658.0	712.0	1704.0	761.0	1717.0	816.0	1719.0	871.0	1722.0	926.0	1722.0	981.0	1724.0	1036.0	1727.0	1090.0	1727.0	1145.0	1728.0	1200.0	1727.0	1255.0	1726.0	1310.0	1725.0
