Id	Species	Sex	RawCoord1	RawCoord2	RawCoord3	RawCoord4	RawCoord5	RawCoord6	RawCoord7	RawCoord8	RawCoord9	RawCoord10	RawCoord11	RawCoord12	RawCoord13	RawCoord14	RawCoord15	RawCoord16	RawCoord17	RawCoord18	RawCoord19	RawCoord20	RawCoord21	RawCoord22	RawCoord23	RawCoord24	RawCoord25	RawCoord26	RawCoord27	RawCoord28	RawCoord29	RawCoord30	RawCoord31	RawCoord32	RawCoord33	RawCoord34	RawCoord35	RawCoord36	RawCoord37	RawCoord38	RawCoord39	RawCoord40
dif_f0001.tif	C. difficilis	f	637	1006	661	1049	702	1082	745	1109	784	1142	816	1182	842	1227	863	1273	883	1321	908	1366	936	1409	964	1452	998	1491	1032	1530	1070	1563	1111	1594	1155	1621	1200	1646	1249	1660	1300	1663
dif_f0002.tif	C. difficilis	f	536	977	566	1032	622	1061	675	1096	725	1135	771	1179	801	1235	826	1293	846	1354	862	1415	889	1472	912	1531	946	1585	987	1633	1035	1676	1084	1716	1135	1753	1192	1782	1250	1807	1313	1815
dif_f0003.tif	C. difficilis	f	538	902	565	948	608	978	650	1010	688	1046	721	1088	746	1135	767	1183	784	1233	806	1281	832	1327	861	1372	895	1411	936	1446	974	1482	1016	1515	1058	1546	1104	1573	1154	1590	1206	1592
dif_f0004.tif	C. difficilis	f	358	971	392	1023	441	1062	489	1102	527	1152	559	1206	583	1265	600	1325	616	1386	637	1446	667	1501	704	1552	745	1600	795	1638	846	1675	902	1705	958	1734	1013	1765	1072	1785	1135	1789
dif_f0005.tif	C. difficilis	f	397	1035	422	1093	468	1137	519	1175	564	1219	606	1268	643	1319	672	1376	700	1433	732	1488	768	1540	808	1590	853	1635	902	1675	956	1710	1011	1742	1067	1771	1126	1795	1187	1814	1249	1810
dif_m0001.tif	C. difficilis	m	517	1097	546	1145	589	1181	639	1208	682	1243	715	1289	742	1338	763	1391	781	1444	800	1497	823	1549	851	1598	886	1643	926	1683	970	1717	1018	1748	1068	1773	1120	1797	1175	1808	1230	1802
dif_m0002.tif	C. difficilis	m	302	1024	345	1064	392	1098	443	1125	492	1158	534	1198	565	1248	588	1302	610	1356	632	1410	659	1462	691	1511	730	1554	775	1591	822	1625	873	1655	925	1682	979	1703	1036	1715	1093	1708
dif_m0003.tif	C. difficilis	m	699	913	744	943	791	970	830	1008	859	1053	878	1103	894	1155	911	1206	925	1258	940	1310	959	1361	984	1409	1015	1453	1047	1496	1086	1534	1129	1567	1172	1600	1217	1630	1264	1656	1315	1658
dif_m0004.tif	C. difficilis	m	416	1065	461	1095	514	1111	567	1129	606	1168	643	1211	668	1260	691	1311	711	1363	733	1415	758	1464	789	1510	826	1553	865	1592	908	1628	953	1660	999	1692	1046	1722	1098	1742	1153	1748
dif_m0005.tif	C. difficilis	m	452	1020	488	1062	537	1091	585	1120	628	1156	668	1197	701	1242	729	1291	753	1342	775	1394	799	1445	825	1496	861	1539	901	1580	944	1616	988	1651	1032	1686	1076	1721	1127	1744	1180	1731
